,wave,INCOME_1,INCOME_2,INCOME_3,INCOME_4,INCOME_5,INCOME_6,INCOME_7,WP16,WP18,WP23,WP27,WP30,WP31,WP40,WP43,WP60,WP61,WP63,WP65,WP67,WP68,WP69,WP70,WP71,WP74,WP83,WP85,WP86,WP19472,WP88,WP89,WP91,WP92,WP93,WP94,WP95,WP96,WP97,WP98,WP10248,WP103,WP105,WP106,WP108,WP109,WP110,WP111,WP112,WP113,WP117,WP118,WP119,WP129,WP130,WP9050,WP131,WP132,WP134,WP137,WP138,WP139,WP141,WP144,WP10251,WP145,WP146,WP150,WP151,WP153,WP155,WP156,WP13125,WP1219,WP1220,WP1223,EMP_2010,WP1230,WP1233,WP2319,WP4657,WP9042,WP9048,WP17625,WP17626,WP16056,WP15862,WP19544,WP3117
2051079,14.1,36000.0,8966.233974530649,12000.0,2988.744658176883,2.0,,3.0,6.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,22.0,1.0,1.0,0.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0
2051080,14.1,60000.0,14943.723290884414,30000.0,7471.861645442207,4.0,,3.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,2.0,62.0,2.0,6.0,0.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0
2051081,14.1,120000.0,29887.44658176883,30000.0,7471.861645442207,4.0,,1.0,7.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,33.0,2.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,3.0
2051082,14.1,96000.0,23909.95726541506,96000.0,23909.95726541506,5.0,,1.0,5.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,65.0,5.0,6.0,0.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0
2051083,14.1,120000.0,29887.44658176883,60000.0,14943.723290884414,5.0,,1.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,1.0,69.0,2.0,6.0,0.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0
2051084,14.1,36000.0,8966.233974530649,18000.0,4483.1169872653245,3.0,,3.0,7.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,69.0,2.0,6.0,0.0,,5.0,1.0,,,2.0,2.0,2.0,,,2.0
2051085,14.1,240000.0,59774.89316353766,240000.0,59774.89316353766,5.0,,3.0,8.0,9.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,1.0,32.0,1.0,1.0,0.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,3.0
2051086,14.1,72000.0,17932.467949061298,36000.0,8966.233974530649,4.0,,1.0,10.0,98.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,67.0,2.0,6.0,0.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0
2051087,14.1,96000.0,23909.95726541506,48000.0,11954.97863270753,4.0,,1.0,7.0,98.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,72.0,2.0,6.0,0.0,,1.0,1.0,,,1.0,1.0,2.0,,2.0,1.0
2051088,14.1,96000.0,23909.95726541506,48000.0,11954.97863270753,4.0,,1.0,8.0,98.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,2.0,71.0,2.0,6.0,0.0,,2.0,1.0,,,1.0,1.0,2.0,,2.0,1.0
2051089,14.1,156000.0,38853.68055629948,52000.0,12951.226852099826,5.0,,1.0,8.0,9.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,57.0,2.0,6.0,0.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0
